prompt,outdir,skip_grid,skip_save,ddim_steps,fixed_code,ddim_eta,n_iter,H,W,C,f,n_samples,n_rows,scale,device,from_file,seed,unet_bs,turbo,precision,format,sampler,ckpt,s_path_file
"The children walked deeper into the forest, but they didn't see the apple tree.",outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,7262,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
"""Where?"" they called.",outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,1803,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
"""Just a little further!"" called the stepmother.",outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,4313,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
"Hansel and Gretel walked deeper and deeper into the forest, but they still didn't see the apple tree.",outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,9269,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
"""Where?"" they called a second time.",outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,3063,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
"""Just a little further!"" replied the stepmother.",outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,4441,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
Her voice was very faint now.,outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,2682,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
"Hansel and Gretel walked and walked, deeper and deeper.",outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,5003,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
No apple tree.,outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,1261,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
"""Where?"" they called a third time.",outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,2966,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
But there was no reply from their stepmother.,outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,4288,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
She was gone.,outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,1154,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
“Oh no!,outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,979,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
We are lost!,outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,1047,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
""" said Gretel, crying.",outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,1900,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
"“Don’t worry, I have a plan,"" said Hansel.",outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,4430,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
"He turned around to find the crumbs, but they were gone!",outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,5127,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
The hungry birds had stolen every piece of bread!,outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,4537,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
Hansel and Gretel huddling in some bushes at night,outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,4676,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
"""I'm scared,"" wept Gretel. ""And I'm cold, and hungry, and I want to go home!""",outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,6279,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
"""Don't worry. Everything will be alright,"" Hansel said, trying to be brave. But he was scared, too.",outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,8762,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
"That night, the children slept in some soft bushes to stay warm.",outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,5955,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
"When they woke up, the sun was shining, the birds were singing, and there was a sweet, delicious smell in the air.",outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,10367,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
"""I am so hungry,"" said Gretel.",outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,2520,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
"""I think I smell cookies….""",outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,2740,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
"""Look!"" said Hansel, pointing.",outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,2584,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
"""A house!""",outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,746,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
It was the strangest house they had ever seen.,outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,4282,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
The walls looked like yellow lemon cookies.,outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,4089,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
The windows looked like they were made of chocolate.,outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,4872,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
